SUB ID	Age (years)	Yrs Educn	Rdg Time	Rdg Comp	Vision SC		
1	89	12	38	5	12		
2	83	12	20	5	19		
3	81	11	32	2	19		
4	89	13		3	19		
5	89	12	27	1	20		
6	84	9	100	3	20		
7	93	12	34	4	17		
8	89	14	35	4	18		
9	86	12	75	1	13		
10	80	11	27	4	13		
11	96	12	25	4	20		
12	79	14	37	2	20		
13	93	16	67	2	20		
14	87	13	21	1	20		
15	83	12	25	2	17		
16	85	12	35	2	16
17	81	12	39	4	20
18	82	14	48	2	20
19	86	15	56	2	20
20	89	16	22	4	20
21	84	12	56	4	19
22	93	14	25	2	19
23	88	8	27	5	20
24	88	12	20	4	19
25	96	12	96	3	14
26	78	12	34	4	16
27	75	16	27	3	20
28	84	13	51	1	19
29	79	18	72	3	17
30	82	8	50	2	20
31	70	12	35	4	15
32	82	12	95	5	12
33	85	12	60	2	20
34	94	16	19	5	11
35	87	13	84	2	18
36	85	12	28	5	11
37	89	14	27	5	20
38	75	14	15	3	20
39	95	12	41	4	20
40	92	12	35	3	19
41	79	12	16	3	19
42	91	12	16	5	20
43	79	15	29	4	19
44	85	16	18	3	18
45	82	16	25	3	17
46	88	12	29	4	20
47	74	16	25	4	20
48	71	13		4	18
49	77	16	17	4	20
50	65	14	21	5	20
51	83	18	17	5	20
52	64	12	57	2	20
53	69	15	47	5	19
54	77	12	32	4	20
55	91	14	21	5	16
56	82	14	26	4	20
57	80	18	16	5	20
58	65	14	28	5	20
59	83	12	30	4	20
60	84	12	44	4	18
61	73	13	24	4	16
62	73	14	38	5	19
63	86	16	27	4	19
64	74	12	21	4	20
65	70	14	27	5	20
66	95		36	5	20
