5.3        4.7       6.2         5.1            7.1         5.1
5.0        4.5       7.1         5.3            7.0         5.2
6.0        4.6       7.0         5.6            6.2         5.6
6.2        4.8       6.1         5.7            6.8         5.7
6.1        4.9       6.5         5.7            7.1         5.9
5.9        5.0       6.8         5.8            6.9         5.1
6.0        5.1       7.1         5.1            6.7         6.1
6.1        6.0       6.1         4.9            7.0         4.8
5.0        4.5       6.0         5.6            6.9         5.1
5.2        4.8       6.4         5.5            7.4         6.0
