1250	1	1
1175	1	1
1236	1	1
1239	1	1
1193	1	1
1021	1	2
1099	1	2
1069	1	2
996	1	2
1070	1	2
1319	2	1
1251	2	1
1241	2	1
1295	2	1
1265	2	1
1119	2	2
1110	2	2
1123	2	2
1097	2	2
1163	2	2
1217	3	1
1190	3	1
1201	3	1
1232	3	1
1251	3	1
1033	3	2
1067	3	2
1057	3	2
1077	3	2
1022	3	2
1066	1	1
1076	1	1
1004	1	1
1002	1	1
1034	1	1
864	1	2
848	1	2
881	1	2
892	1	2
868	1	2
1105	2	1
1043	2	1
1051	2	1
1128	2	1
1060	2	1
927	2	2
944	2	2
957	2	2
897	2	2
933	2	2
1021	3	1
1020	3	1
1035	3	1
1000	3	1
1026	3	1
841	3	2
865	3	2
817	3	2
911	3	2
868	3	2
