    53     73     56     72
    41     58     48     64
    71     82     78     95
    43     61     41     51
    90     95     64     83
    58     69     42     61
    46     68     39     57
    65     74     55     70
    64     66     36     51
    47     63     52     57
    69     82     26     48
    36     54     68     89
    19     38     31     42
    29     40     21     30
    35     52     58     69
    43     59     42     53
    63     77     61     73
    28     37     78     99
    62     80     37     49
    58     79     67     84
    73     81     66     85
    51     73     37     54
    66     79     40     56
    21     42     41     44
    64     81     66     89
