 0.1418   0.8500   0.1418    1     1
 0.2339   0.4445   0.2339    1     2
 0.5376   0.7238   0.5376    1    22
 0.4368   0.5526   0.4368    1     8
 0.4380   0.6748   0.4380    1     9
 0.4627   0.6640   0.4627    1    11
 0.5368   0.4831   0.5368    1    21
 0.4706   0.3571   0.4706    1    12
 0.5161   0.5746   0.5161    1    18
 0.3900   0.5313   0.3900    1     7
 0.2481   0.5087   0.2481    1     3
 0.5422   0.2816   0.5422    1    23
 0.5241   0.5030   0.5241    1    19
 0.3080   0.5012   0.3080    1     5
 0.5696   0.5111   0.5696    1    25
      *        *   0.8500    2    30
      *        *   0.4445    2    10
      *        *   0.7238    2    29
      *        *   0.5526    2    24
      *        *   0.6748    2    28
      *        *   0.6640    2    27
      *        *   0.4831    2    13
      *        *   0.3571    2     6
      *        *   0.5746    2    26
      *        *   0.5313    2    20
      *        *   0.5087    2    16
      *        *   0.2816    2     4
      *        *   0.5030    2    15
      *        *   0.5012    2    14
      *        *   0.5111    2    17
