1  3.18  1.64  3.36  2.09  1   6.75  1
2  1.36  2.64  2.36  3.36  1   7.30  2
2  3.64  3.64  2.91  3.18  1   8.75  1
2  3.73  2.55  2.91  2.55  1   7.75  1
2  3.64  2.55  2.36  2.45  1   9.25  2
1  2.73  1.82  3.18  2.09  1  11.00  1
2  3.09  2.82  2.82  2.82  1   7.00  1
2  2.27  3.09  2.91  3.18  1   7.75  2
2  2.45  2.09  2.00  2.18  1  10.00  2
1  2.27  3.45  1.72  3.18  1   7.25  2
2  2.36  3.09  1.55  3.45  1   9.25  2
2  3.00  2.91  4.00  2.91  1   7.33  1
2  2.64  2.73  3.18  2.73  1   9.50  1
1  2.82  3.36  3.45  3.45  1   6.75  1
2  3.73  1.82  2.82  1.72  1  11.00  2
1  2.45  1.82  2.55  1.82  2   6.67  1
1  3.82  1.36  3.90  2.82  1  12.50  2
2  3.90  1.64  3.45  2.45  2  12.75  2
2  1.91  3.73  1.00  4.00  1  10.25  1
1  2.64  3.83  3.36  3.55  1   7.25  2
1  2.73  2.73  3.73  3.27  2   9.75  1
2  2.73  3.40  1.82  3.00  1   4.75  2
2  3.00  2.73  1.27  2.55  1   6.75  1
1  3.64  3.27  3.82  2.91  1  10.75  1
2  4.00  3.82  3.45  4.00  1  11.50  2
1  3.73  3.00  4.00  3.00  1   9.75  2
1  2.73  3.09  3.27  2.45  2  11.00  1
2  2.36  3.09  2.91  3.09  1  10.25  2
2  2.64  3.09  2.82  2.82  1  10.50  2
2  3.00  2.27  3.18  3.45  1   9.50  1
2  2.91  1.55  3.45  3.82  1  10.25  2
2  3.73  2.18  3.36  3.91  1  12.25  2
2  3.00  2.45  2.64  2.00  1   3.50  1
2  3.00  1.18  2.64  4.00  1   7.25  1
2  3.64  1.09  3.45  3.73  1   6.25  2
2  3.60  1.82  3.73  2.27  1  10.00  1
2  3.36  1.70  3.36  2.82  1   9.25  2
1  2.64  1.73  2.45  3.73  1   7.75  2
1  1.64  1.64  1.73  3.55  1   9.25  2
1  2.91  2.09  2.91  3.64  2   7.50  2
1  3.00  1.82  2.45  1.91  2  10.00  2
1  1.36  1.27  1.36  4.00  1   8.00  2
1  1.55  1.18  1.18  4.00  1   8.00  2
1  1.91  1.82  1.55  1.45  2   5.30  2
1  3.55  1.36  1.82  1.64  1   5.50  1
1  2.82  1.27  1.82  4.00  1   5.00  1
1  2.45  1.36  2.45  3.73  2  12.00  2
1  3.64  2.45  3.27  3.45  2  12.50  2
1  2.55  2.09  2.64  2.73  1   8.25  1
2  3.82  2.82  3.90  3.45  1  12.25  2
2  3.50  3.00  3.50  3.00  2  13.00  2
1  2.00  2.00  4.00  2.00  2  10.50  1
2  1.45  2.73  3.27  2.73  1   9.00  2
2  4.00  2.18  1.91  2.64  2  10.00  2
2  2.09  3.00  3.73  2.45  1  10.50  2
2  3.82  3.00  2.64  3.09  1  11.75  2
2  3.00  1.91  2.73  2.45  1   7.50  1
1  3.36  3.00  3.09  3.00  1  10.50  1
1  3.45  2.73  3.27  3.09  2  12.60  1
1  2.91  2.82  3.55  3.18  1   7.00  2
2  3.55  2.18  2.82  2.91  1  12.00  1
