14067  0.491  0.422
52488  0.563  0.574
12693  0.445  0.400
35954  0.544  0.539
36452  0.479  0.501
42620  0.500  0.557
34395  0.471  0.540
40859  0.577  0.508
42313  0.516  0.571
44490  0.500  0.543
28251  0.517  0.462
51978  0.572  0.530
18711  0.450  0.467
27597  0.427  0.514
36449  0.592  0.427
14278  0.395  0.433
35862  0.400  0.599
38712  0.523  0.493
60728  0.601  0.586
31181  0.448  0.543
30807  0.416  0.558
29538  0.492  0.532
38239  0.505  0.580
39041  0.605  0.426
37995  0.454  0.499
44897  0.607  0.474
11065  0.434  0.446
14067  0.440  0.407
45107  0.494  0.559
36385  0.573  0.435
40503  0.554  0.554
35901  0.540  0.467
61355  0.557  0.583
37216  0.504  0.541
39843  0.590  0.485
26265  0.509  0.445
21668  0.458  0.434
24446  0.459  0.421
15316  0.404  0.425
49406  0.574  0.526
